Year, Month, Intel, Google, Yahoo
1908, Jul, 401, 310, 566
1908, Aug, 873, 332, 409
1908, Sep, 680, 790, 971
1908, Oct, 695, 540, 31
1908, Nov, 238, 564, 411
1908, Dec, 305, 398, 214
1909, Jan, 575, 450, 838
1909, Feb, 911, 569, 720
1909, Mar, 864, 189, 985
1909, Apr, 978, 340, 449
1909, May, 983, 38, 137
1909, Jun, 182, 20, 209
1909, Jul, 855, 850, 11
1909, Aug, 315, 537, 805
1909, Sep, 321, 365, 930
1909, Oct, 714, 909, 555
1909, Nov, 78, 397, 45
1909, Dec, 880, 917, 952
1910, Jan, 138, 164, 789
1910, Feb, 26, 686, 783
1910, Mar, 385, 448, 482
1910, Apr, 60, 91, 294
1910, May, 43, 723, 642
1910, Jun, 426, 956, 729
1910, Jul, 586, 609, 963
1910, Aug, 57, 471, 797
1910, Sep, 352, 359, 724
1910, Oct, 116, 504, 211
1910, Nov, 303, 187, 498
1910, Dec, 288, 295, 310
1911, Jan, 364, 541, 378
1911, Feb, 831, 184, 812
1911, Mar, 141, 37, 167
1911, Apr, 999, 675, 423
1911, May, 139, 948, 626
1911, Jun, 810, 335, 160
1911, Jul, 951, 386, 397
1911, Aug, 906, 786, 1
1911, Sep, 820, 447, 576
1911, Oct, 327, 415, 804
1911, Nov, 208, 226, 862
1911, Dec, 811, 217, 803
1912, Jan, 263, 787, 136
1912, Feb, 792, 480, 669
1912, Mar, 493, 959, 748
1912, Apr, 34, 974, 583
1912, May, 744, 33, 983
1912, Jun, 817, 244, 968
1912, Jul, 640, 399, 653
1912, Aug, 13, 550, 701
1912, Sep, 898, 882, 928
1912, Oct, 503, 834, 844
1912, Nov, 1000, 552, 799
1912, Dec, 669, 505, 211
1913, Jan, 793, 301, 927
1913, Feb, 376, 365, 530
1913, Mar, 839, 212, 139
1913, Apr, 568, 807, 567
1913, May, 767, 330, 160
1913, Jun, 51, 873, 641
1913, Jul, 613, 500, 610
1913, Aug, 198, 503, 109
1913, Sep, 575, 573, 85
1913, Oct, 397, 88, 936
1913, Nov, 407, 821, 592
1913, Dec, 550, 754, 961
1914, Jan, 502, 345, 55
1914, Feb, 165, 72, 59
1914, Mar, 62, 108, 215
1914, Apr, 714, 306, 543
1914, May, 923, 812, 712
1914, Jun, 922, 554, 714
1914, Jul, 458, 922, 990
1914, Aug, 757, 1, 240
1914, Sep, 174, 477, 609
1914, Oct, 265, 594, 79
1914, Nov, 457, 122, 275
1914, Dec, 987, 400, 76
1915, Jan, 657, 451, 745
1915, Feb, 783, 245, 517
1915, Mar, 339, 689, 55
1915, Apr, 380, 153, 506
1915, May, 729, 468, 321
1915, Jun, 568, 79, 225
1915, Jul, 14, 12, 34
1915, Aug, 3, 48, 222
1915, Sep, 414, 152, 406
1915, Oct, 467, 29, 564
1915, Nov, 639, 813, 972
1915, Dec, 846, 291, 717
1916, Jan, 710, 963, 41
1916, Feb, 390, 681, 370
1916, Mar, 305, 23, 333
1916, Apr, 150, 541, 305
1916, May, 584, 465, 830
1916, Jun, 790, 32, 726
1916, Jul, 360, 841, 18
1916, Aug, 487, 361, 624
1916, Sep, 580, 330, 169
1916, Oct, 166, 287, 153
1916, Nov, 238, 775, 858
1916, Dec, 18, 500, 59
1917, Jan, 586, 980, 192
1917, Feb, 567, 613, 261
1917, Mar, 247, 219, 502
1917, Apr, 207, 895, 696
1917, May, 793, 415, 736
1917, Jun, 240, 616, 248
1917, Jul, 324, 662, 760
1917, Aug, 267, 768, 504
1917, Sep, 71, 585, 129
1917, Oct, 100, 837, 179
1917, Nov, 526, 251, 387
1917, Dec, 849, 613, 185
1918, Jan, 909, 381, 82
1918, Feb, 533, 964, 51
1918, Mar, 500, 286, 464
1918, Apr, 145, 813, 42
1918, May, 945, 260, 353
1918, Jun, 564, 685, 907
1918, Jul, 254, 668, 151
1918, Aug, 590, 308, 967
1918, Sep, 476, 94, 965
1918, Oct, 18, 51, 386
1918, Nov, 52, 60, 622
1918, Dec, 128, 582, 153
1919, Jan, 493, 333, 650
1919, Feb, 783, 981, 646
1919, Mar, 623, 879, 435
1919, Apr, 85, 633, 922
1919, May, 70, 721, 381
1919, Jun, 441, 261, 589
1919, Jul, 851, 111, 825
1919, Aug, 99, 637, 169
1919, Sep, 815, 658, 717
1919, Oct, 546, 866, 1000
1919, Nov, 120, 731, 512
1919, Dec, 303, 542, 248
1920, Jan, 776, 714, 891
1920, Feb, 710, 76, 600
1920, Mar, 929, 570, 205
1920, Apr, 273, 323, 248
1920, May, 603, 46, 533
1920, Jun, 56, 787, 335
1920, Jul, 164, 60, 25
1920, Aug, 677, 450, 475
1920, Sep, 720, 684, 878
1920, Oct, 586, 669, 338
1920, Nov, 792, 929, 555
1920, Dec, 654, 626, 576
1921, Jan, 668, 443, 380
1921, Feb, 482, 971, 259
1921, Mar, 773, 23, 614
1921, Apr, 307, 231, 649
1921, May, 908, 682, 801
1921, Jun, 379, 275, 883
1921, Jul, 831, 795, 706
1921, Aug, 139, 413, 717
1921, Sep, 90, 740, 772
1921, Oct, 658, 317, 43
1921, Nov, 412, 309, 534
1921, Dec, 510, 606, 548
1922, Jan, 407, 548, 920
1922, Feb, 488, 4, 656
1922, Mar, 876, 967, 873
1922, Apr, 802, 399, 867
1922, May, 597, 40, 389
1922, Jun, 391, 810, 962
1922, Jul, 814, 804, 676
1922, Aug, 976, 372, 699
1922, Sep, 921, 837, 65
1922, Oct, 493, 423, 162
1922, Nov, 592, 883, 472
1922, Dec, 235, 856, 926
1923, Jan, 268, 430, 493
1923, Feb, 961, 965, 481
1923, Mar, 95, 822, 811
1923, Apr, 473, 905, 223
1923, May, 450, 48, 120
1923, Jun, 164, 733, 5
1923, Jul, 90, 735, 10
1923, Aug, 571, 54, 742
1923, Sep, 423, 515, 320
1923, Oct, 439, 615, 105
1923, Nov, 812, 934, 796
1923, Dec, 408, 196, 759
1924, Jan, 5, 867, 372
1924, Feb, 300, 211, 126
1924, Mar, 315, 771, 584
1924, Apr, 988, 100, 94
1924, May, 361, 515, 80
1924, Jun, 846, 766, 289
1924, Jul, 527, 967, 937
1924, Aug, 654, 279, 557
1924, Sep, 447, 487, 596
1924, Oct, 797, 926, 981
1924, Nov, 667, 524, 108
1924, Dec, 465, 584, 317
1925, Jan, 312, 7, 396
1925, Feb, 835, 295, 908
1925, Mar, 562, 926, 694
1925, Apr, 880, 466, 310
1925, May, 777, 277, 626
1925, Jun, 925, 870, 238
1925, Jul, 881, 826, 249
1925, Aug, 77, 127, 837
1925, Sep, 915, 774, 966
1925, Oct, 692, 278, 502
1925, Nov, 734, 238, 573
1925, Dec, 285, 89, 175
1926, Jan, 421, 988, 14
1926, Feb, 908, 866, 802
1926, Mar, 439, 730, 966
1926, Apr, 350, 110, 46
1926, May, 953, 720, 123
1926, Jun, 852, 479, 219
1926, Jul, 863, 326, 294
1926, Aug, 530, 905, 826
1926, Sep, 304, 523, 442
1926, Oct, 270, 556, 245
1926, Nov, 246, 806, 911
1926, Dec, 886, 110, 651
1927, Jan, 342, 691, 177
1927, Feb, 898, 208, 123
1927, Mar, 242, 293, 93
1927, Apr, 724, 573, 20
1927, May, 830, 548, 981
1927, Jun, 617, 791, 875
1927, Jul, 903, 683, 307
1927, Aug, 923, 179, 752
1927, Sep, 981, 504, 15
1927, Oct, 243, 943, 638
1927, Nov, 401, 832, 148
1927, Dec, 306, 129, 95
1928, Jan, 545, 97, 383
1928, Feb, 592, 62, 481
1928, Mar, 449, 493, 270
1928, Apr, 181, 653, 713
1928, May, 253, 618, 577
1928, Jun, 194, 816, 471
1928, Jul, 451, 512, 704
1928, Aug, 81, 973, 81
1928, Sep, 437, 442, 403
1928, Oct, 332, 273, 629
1928, Nov, 141, 823, 260
1928, Dec, 598, 237, 158
1929, Jan, 999, 133, 803
1929, Feb, 720, 673, 760
1929, Mar, 391, 506, 180
1929, Apr, 101, 790, 606
1929, May, 144, 83, 498
1929, Jun, 672, 312, 607
1929, Jul, 408, 548, 234
1929, Aug, 134, 17, 519
1929, Sep, 133, 324, 395
1929, Oct, 89, 197, 794
1929, Nov, 42, 165, 499
1929, Dec, 156, 901, 183
1930, Jan, 685, 856, 155
1930, Feb, 994, 671, 593
1930, Mar, 229, 684, 849
1930, Apr, 833, 60, 324
1930, May, 292, 115, 565
1930, Jun, 984, 302, 701
1930, Jul, 575, 407, 817
1930, Aug, 27, 849, 595
1930, Sep, 455, 173, 551
1930, Oct, 173, 590, 825
1930, Nov, 983, 388, 302
1930, Dec, 420, 587, 670
1931, Jan, 117, 120, 15
1931, Feb, 461, 744, 281
1931, Mar, 255, 394, 781
1931, Apr, 352, 336, 291
1931, May, 770, 881, 571
1931, Jun, 313, 896, 21
1931, Jul, 130, 693, 227
1931, Aug, 293, 86, 906
1931, Sep, 372, 93, 852
1931, Oct, 504, 869, 458
1931, Nov, 721, 361, 684
1931, Dec, 730, 449, 399
1932, Jan, 867, 564, 183
1932, Feb, 818, 551, 932
1932, Mar, 935, 458, 401
1932, Apr, 896, 234, 909
1932, May, 853, 615, 248
1932, Jun, 717, 195, 12
1932, Jul, 337, 437, 277
1932, Aug, 439, 511, 385
1932, Sep, 831, 117, 494
1932, Oct, 391, 907, 285
1932, Nov, 669, 325, 594
1932, Dec, 165, 845, 187
1933, Jan, 597, 209, 910
1933, Feb, 85, 543, 756
1933, Mar, 315, 844, 123
1933, Apr, 219, 619, 214
1933, May, 249, 330, 887
1933, Jun, 335, 694, 453
1933, Jul, 410, 41, 550
1933, Aug, 663, 93, 953
1933, Sep, 970, 181, 144
1933, Oct, 847, 572, 583
1933, Nov, 957, 9, 403
1933, Dec, 965, 889, 396
1934, Jan, 186, 329, 766
1934, Feb, 545, 681, 601
1934, Mar, 622, 517, 23
1934, Apr, 777, 559, 223
1934, May, 120, 331, 719
1934, Jun, 951, 52, 130
1934, Jul, 601, 178, 794
1934, Aug, 773, 397, 951
1934, Sep, 65, 829, 350
1934, Oct, 250, 765, 553
1934, Nov, 490, 285, 431
1934, Dec, 105, 65, 125
1935, Jan, 824, 886, 975
1935, Feb, 191, 577, 348
1935, Mar, 908, 740, 310
1935, Apr, 354, 961, 680
1935, May, 257, 369, 252
1935, Jun, 298, 242, 850
1935, Jul, 895, 270, 338
1935, Aug, 476, 93, 141
1935, Sep, 252, 858, 528
1935, Oct, 729, 308, 664
1935, Nov, 109, 78, 144
1935, Dec, 470, 112, 898
1936, Jan, 721, 658, 66
1936, Feb, 574, 291, 452
1936, Mar, 835, 426, 584
1936, Apr, 176, 244, 770
1936, May, 33, 32, 460
1936, Jun, 141, 894, 636
1936, Jul, 745, 219, 352
1936, Aug, 566, 929, 196
1936, Sep, 163, 497, 745
1936, Oct, 120, 931, 723
1936, Nov, 126, 248, 126
1936, Dec, 892, 913, 532
1937, Jan, 550, 351, 471
1937, Feb, 627, 293, 656
1937, Mar, 400, 963, 272
1937, Apr, 320, 487, 92
1937, May, 578, 756, 57
1937, Jun, 635, 464, 230
1937, Jul, 859, 164, 667
1937, Aug, 639, 13, 896
1937, Sep, 411, 673, 334
1937, Oct, 292, 401, 890
1937, Nov, 688, 126, 546
1937, Dec, 119, 2, 515
1938, Jan, 10, 676, 806
1938, Feb, 757, 22, 336
1938, Mar, 600, 94, 1000
1938, Apr, 385, 170, 558
1938, May, 312, 47, 266
1938, Jun, 253, 756, 9
1938, Jul, 630, 486, 869
1938, Aug, 33, 337, 339
1938, Sep, 768, 990, 943
1938, Oct, 684, 679, 53
1938, Nov, 324, 766, 345
1938, Dec, 299, 303, 425
1939, Jan, 277, 120, 306
1939, Feb, 515, 119, 499
1939, Mar, 461, 989, 549
1939, Apr, 53, 578, 303
1939, May, 437, 220, 563
1939, Jun, 422, 467, 851
1939, Jul, 794, 923, 331
1939, Aug, 958, 472, 14
1939, Sep, 495, 149, 614
1939, Oct, 266, 257, 451
1939, Nov, 378, 198, 87
1939, Dec, 564, 732, 308
1940, Jan, 747, 61, 455
1940, Feb, 717, 77, 368
1940, Mar, 522, 540, 245
1940, Apr, 590, 818, 266
1940, May, 735, 382, 980
1940, Jun, 810, 360, 994
1940, Jul, 740, 69, 382
1940, Aug, 624, 959, 983
1940, Sep, 80, 689, 588
1940, Oct, 87, 452, 210
1940, Nov, 99, 509, 271
1940, Dec, 190, 691, 20
1941, Jan, 886, 455, 56
1941, Feb, 329, 294, 34
1941, Mar, 663, 344, 675
1941, Apr, 357, 209, 975
1941, May, 505, 217, 364
1941, Jun, 366, 953, 721
1941, Jul, 348, 85, 270
1941, Aug, 260, 835, 693
1941, Sep, 263, 399, 716
1941, Oct, 521, 859, 17
1941, Nov, 279, 33, 853
1941, Dec, 586, 255, 759
1942, Jan, 211, 385, 297
1942, Feb, 772, 755, 397
1942, Mar, 494, 716, 161
1942, Apr, 987, 704, 100
1942, May, 220, 948, 264
1942, Jun, 231, 498, 534
1942, Jul, 487, 548, 332
1942, Aug, 469, 305, 648
1942, Sep, 563, 292, 904
1942, Oct, 825, 755, 984
1942, Nov, 267, 132, 915
1942, Dec, 27, 792, 686
1943, Jan, 602, 787, 808
1943, Feb, 964, 446, 657
1943, Mar, 3, 409, 161
1943, Apr, 792, 735, 689
1943, May, 37, 126, 245
1943, Jun, 678, 568, 526
1943, Jul, 847, 479, 266
1943, Aug, 56, 214, 418
1943, Sep, 840, 413, 119
1943, Oct, 354, 179, 630
1943, Nov, 600, 615, 138
1943, Dec, 560, 909, 391
1944, Jan, 603, 321, 394
1944, Feb, 920, 893, 960
1944, Mar, 509, 770, 748
1944, Apr, 579, 76, 736
1944, May, 24, 839, 256
1944, Jun, 141, 311, 602
1944, Jul, 64, 29, 485
1944, Aug, 240, 994, 619
1944, Sep, 956, 427, 69
1944, Oct, 802, 138, 369
1944, Nov, 942, 814, 917
1944, Dec, 357, 724, 529
1945, Jan, 480, 947, 367
1945, Feb, 59, 72, 244
1945, Mar, 426, 493, 159
1945, Apr, 97, 283, 290
1945, May, 433, 646, 812
1945, Jun, 747, 335, 874
1945, Jul, 804, 659, 550
1945, Aug, 284, 418, 408
1945, Sep, 900, 34, 804
1945, Oct, 662, 1, 458
1945, Nov, 529, 134, 922
1945, Dec, 382, 728, 976
1946, Jan, 816, 277, 579
1946, Feb, 812, 587, 194
1946, Mar, 328, 201, 215
1946, Apr, 548, 226, 267
1946, May, 269, 782, 44
1946, Jun, 339, 533, 264
1946, Jul, 397, 798, 823
1946, Aug, 512, 788, 709
1946, Sep, 471, 183, 637
1946, Oct, 306, 946, 579
1946, Nov, 565, 50, 146
1946, Dec, 135, 7, 521
1947, Jan, 594, 697, 971
1947, Feb, 625, 111, 185
1947, Mar, 80, 968, 709
1947, Apr, 371, 911, 514
1947, May, 957, 627, 372
1947, Jun, 530, 747, 79
1947, Jul, 242, 611, 220
1947, Aug, 148, 193, 343
1947, Sep, 247, 903, 65
1947, Oct, 890, 302, 388
1947, Nov, 608, 86, 755
1947, Dec, 272, 255, 963
1948, Jan, 267, 353, 548
1948, Feb, 643, 934, 427
1948, Mar, 914, 817, 727
1948, Apr, 694, 752, 75
1948, May, 90, 869, 604
1948, Jun, 271, 399, 493
1948, Jul, 37, 649, 849
1948, Aug, 356, 878, 969
1948, Sep, 409, 700, 978
1948, Oct, 767, 723, 710
1948, Nov, 85, 342, 356
1948, Dec, 811, 94, 311
1949, Jan, 272, 814, 924
1949, Feb, 575, 362, 206
1949, Mar, 903, 587, 522
1949, Apr, 823, 332, 916
1949, May, 850, 244, 826
1949, Jun, 381, 42, 332
1949, Jul, 740, 299, 708
1949, Aug, 594, 395, 884
1949, Sep, 426, 96, 893
1949, Oct, 28, 661, 577
1949, Nov, 950, 740, 819
1949, Dec, 301, 788, 845
1950, Jan, 593, 302, 115
1950, Feb, 907, 113, 218
1950, Mar, 844, 70, 584
1950, Apr, 797, 361, 382
1950, May, 304, 998, 531
1950, Jun, 978, 191, 534
1950, Jul, 972, 504, 577
1950, Aug, 768, 721, 255
1950, Sep, 579, 737, 820
1950, Oct, 370, 672, 313
1950, Nov, 415, 449, 321
1950, Dec, 596, 792, 346
1951, Jan, 383, 98, 891
1951, Feb, 666, 774, 626
1951, Mar, 978, 788, 655
1951, Apr, 325, 209, 310
1951, May, 55, 152, 757
1951, Jun, 838, 385, 152
1951, Jul, 152, 910, 596
1951, Aug, 112, 322, 389
1951, Sep, 907, 47, 10
1951, Oct, 691, 448, 159
1951, Nov, 808, 161, 237
1951, Dec, 999, 797, 466
1952, Jan, 471, 344, 242
1952, Feb, 249, 927, 740
1952, Mar, 873, 256, 102
1952, Apr, 458, 950, 711
1952, May, 501, 948, 431
1952, Jun, 198, 388, 168
1952, Jul, 337, 344, 711
1952, Aug, 953, 11, 408
1952, Sep, 692, 60, 517
1952, Oct, 839, 807, 217
1952, Nov, 130, 201, 126
1952, Dec, 264, 410, 993
1953, Jan, 840, 642, 305
1953, Feb, 766, 699, 943
1953, Mar, 817, 467, 339
1953, Apr, 771, 944, 352
1953, May, 446, 806, 300
1953, Jun, 117, 334, 375
1953, Jul, 892, 16, 119
1953, Aug, 969, 907, 608
1953, Sep, 811, 259, 439
1953, Oct, 514, 749, 436
1953, Nov, 794, 64, 120
1953, Dec, 948, 618, 837
1954, Jan, 350, 671, 916
1954, Feb, 303, 923, 56
1954, Mar, 312, 378, 234
1954, Apr, 520, 140, 768
1954, May, 404, 875, 901
1954, Jun, 794, 655, 769
1954, Jul, 849, 762, 358
1954, Aug, 742, 841, 47
1954, Sep, 115, 256, 605
1954, Oct, 910, 445, 319
1954, Nov, 383, 566, 888
1954, Dec, 941, 503, 636
1955, Jan, 688, 564, 718
1955, Feb, 586, 723, 581
1955, Mar, 880, 864, 794
1955, Apr, 307, 734, 935
1955, May, 853, 601, 260
1955, Jun, 103, 149, 813
1955, Jul, 351, 443, 256
1955, Aug, 568, 809, 673
1955, Sep, 386, 893, 620
1955, Oct, 235, 518, 687
1955, Nov, 956, 190, 913
1955, Dec, 991, 8, 804
1956, Jan, 32, 76, 524
1956, Feb, 212, 948, 428
1956, Mar, 259, 593, 774
1956, Apr, 86, 590, 366
1956, May, 843, 750, 477
1956, Jun, 803, 55, 582
1956, Jul, 759, 441, 451
1956, Aug, 493, 1, 150
1956, Sep, 399, 78, 970
1956, Oct, 286, 32, 737
1956, Nov, 696, 635, 853
1956, Dec, 388, 495, 848
1957, Jan, 503, 979, 374
1957, Feb, 29, 695, 68
1957, Mar, 53, 274, 184
1957, Apr, 466, 65, 851
1957, May, 558, 72, 819
1957, Jun, 503, 459, 309
1957, Jul, 601, 386, 152
1957, Aug, 935, 989, 928
1957, Sep, 741, 194, 511
1957, Oct, 93, 194, 970
1957, Nov, 301, 597, 154
1957, Dec, 352, 403, 526
1958, Jan, 321, 482, 259
1958, Feb, 201, 818, 834
1958, Mar, 553, 61, 783
1958, Apr, 259, 763, 19
1958, May, 211, 370, 13
1958, Jun, 604, 744, 662
1958, Jul, 211, 116, 102
1958, Aug, 565, 97, 514
1958, Sep, 542, 818, 435
1958, Oct, 855, 564, 417
1958, Nov, 197, 629, 64
1958, Dec, 598, 88, 189
1959, Jan, 507, 556, 955
1959, Feb, 18, 509, 7
1959, Mar, 206, 75, 674
1959, Apr, 365, 584, 251
1959, May, 971, 343, 15
1959, Jun, 994, 97, 390
1959, Jul, 241, 475, 53
1959, Aug, 242, 209, 563
1959, Sep, 393, 175, 447
1959, Oct, 641, 109, 484
1959, Nov, 124, 308, 813
1959, Dec, 762, 487, 53
1960, Jan, 567, 55, 360
1960, Feb, 44, 125, 670
1960, Mar, 427, 729, 953
1960, Apr, 278, 612, 500
1960, May, 412, 435, 117
1960, Jun, 669, 112, 124
1960, Jul, 169, 900, 334
1960, Aug, 890, 849, 913
1960, Sep, 336, 974, 837
1960, Oct, 870, 570, 830
1960, Nov, 689, 883, 615
1960, Dec, 191, 626, 156
1961, Jan, 362, 915, 232
1961, Feb, 135, 187, 276
1961, Mar, 249, 906, 392
1961, Apr, 473, 401, 368
1961, May, 603, 557, 425
1961, Jun, 151, 47, 503
1961, Jul, 34, 450, 365
1961, Aug, 797, 92, 113
1961, Sep, 337, 332, 775
1961, Oct, 787, 508, 359
1961, Nov, 172, 478, 887
1961, Dec, 149, 719, 918
1962, Jan, 396, 10, 987
1962, Feb, 1000, 489, 676
1962, Mar, 484, 821, 408
1962, Apr, 15, 635, 374
1962, May, 368, 896, 970
1962, Jun, 224, 964, 94
1962, Jul, 627, 378, 791
1962, Aug, 73, 591, 817
1962, Sep, 330, 26, 590
1962, Oct, 374, 716, 595
1962, Nov, 428, 117, 125
1962, Dec, 115, 21, 902
1963, Jan, 499, 79, 760
1963, Feb, 932, 18, 305
1963, Mar, 603, 386, 133
1963, Apr, 391, 213, 86
1963, May, 114, 76, 159
1963, Jun, 538, 261, 729
1963, Jul, 736, 518, 566
1963, Aug, 281, 394, 301
1963, Sep, 905, 810, 791
1963, Oct, 545, 119, 285
1963, Nov, 665, 484, 620
1963, Dec, 747, 670, 259
1964, Jan, 785, 4, 898
1964, Feb, 245, 501, 345
1964, Mar, 222, 161, 816
1964, Apr, 960, 101, 356
1964, May, 798, 656, 769
1964, Jun, 597, 936, 344
1964, Jul, 585, 127, 487
1964, Aug, 205, 844, 861
1964, Sep, 80, 744, 1000
1964, Oct, 907, 582, 991
1964, Nov, 927, 262, 476
1964, Dec, 475, 939, 64
1965, Jan, 263, 454, 657
1965, Feb, 926, 511, 795
1965, Mar, 409, 138, 537
1965, Apr, 917, 228, 679
1965, May, 585, 397, 648
1965, Jun, 363, 736, 679
1965, Jul, 589, 505, 569
1965, Aug, 883, 774, 783
1965, Sep, 288, 28, 664
1965, Oct, 396, 959, 865
1965, Nov, 245, 581, 235
1965, Dec, 53, 257, 562
1966, Jan, 692, 842, 243
1966, Feb, 256, 381, 867
1966, Mar, 156, 626, 205
1966, Apr, 546, 524, 86
1966, May, 92, 264, 47
1966, Jun, 578, 702, 175
1966, Jul, 863, 645, 681
1966, Aug, 772, 104, 773
1966, Sep, 95, 49, 65
1966, Oct, 836, 925, 286
1966, Nov, 477, 743, 140
1966, Dec, 279, 76, 701
1967, Jan, 782, 487, 999
1967, Feb, 26, 192, 502
1967, Mar, 310, 873, 92
1967, Apr, 612, 945, 3
1967, May, 867, 354, 398
1967, Jun, 188, 271, 94
1967, Jul, 522, 431, 835
1967, Aug, 677, 512, 394
1967, Sep, 710, 20, 973
1967, Oct, 80, 23, 313
1967, Nov, 57, 577, 121
1967, Dec, 615, 114, 282
1968, Jan, 49, 933, 855
1968, Feb, 779, 370, 283
1968, Mar, 593, 543, 703
1968, Apr, 414, 897, 72
1968, May, 119, 823, 990
1968, Jun, 260, 134, 277
1968, Jul, 981, 739, 70
1968, Aug, 188, 139, 431
1968, Sep, 362, 409, 753
1968, Oct, 563, 369, 934
1968, Nov, 359, 7, 446
1968, Dec, 897, 482, 828
1969, Jan, 916, 345, 301
1969, Feb, 777, 935, 10
1969, Mar, 924, 726, 776
1969, Apr, 369, 866, 622
1969, May, 99, 886, 93
1969, Jun, 97, 127, 560
1969, Jul, 401, 968, 358
1969, Aug, 252, 452, 850
1969, Sep, 912, 567, 342
1969, Oct, 694, 308, 110
1969, Nov, 102, 224, 486
1969, Dec, 726, 632, 256
1970, Jan, 956, 233, 914
1970, Feb, 965, 515, 841
1970, Mar, 864, 165, 692
1970, Apr, 949, 612, 376
1970, May, 462, 679, 16
1970, Jun, 608, 176, 118
1970, Jul, 501, 479, 807
1970, Aug, 860, 42, 150
1970, Sep, 360, 618, 270
1970, Oct, 200, 598, 254
1970, Nov, 507, 600, 694
1970, Dec, 276, 913, 29
1971, Jan, 742, 773, 88
1971, Feb, 529, 92, 961
1971, Mar, 702, 172, 206
1971, Apr, 128, 73, 911
1971, May, 519, 119, 128
1971, Jun, 516, 96, 726
1971, Jul, 993, 384, 942
1971, Aug, 248, 640, 198
1971, Sep, 953, 408, 326
1971, Oct, 950, 242, 960
1971, Nov, 823, 158, 94
1971, Dec, 969, 401, 881
1972, Jan, 713, 173, 52
1972, Feb, 374, 947, 910
1972, Mar, 222, 738, 564
1972, Apr, 775, 584, 224
1972, May, 305, 147, 889
1972, Jun, 420, 213, 320
1972, Jul, 908, 675, 501
1972, Aug, 776, 77, 448
1972, Sep, 19, 266, 446
1972, Oct, 962, 786, 763
1972, Nov, 818, 504, 252
1972, Dec, 913, 975, 411
1973, Jan, 145, 499, 549
1973, Feb, 643, 229, 603
1973, Mar, 642, 917, 110
1973, Apr, 292, 599, 298
1973, May, 45, 401, 487
